id;selector;shop_id
1;span.product-seo a;1
2;.itemsRow>div>h3>a;2
4;.spec_wr a:first-child;4
5;p.product a;5
6;.block_product .name a;6
7;.item-title a;7
8;.prod_title a;8
9;.product-preview .title a;9
10;.tvr .test a;10
